job_company,job_date,job_salary,job_title
福比股份有限公司,4/18,"月薪 28,000~32,000元",電腦維護工程師
樂維科技有限公司,4/18,"月薪 28,000~38,000元",軟體設計工程師
樂維科技有限公司,4/18,"月薪 27,000~38,000元",系統工程師
東佑達自動化科技股份有限公司,4/18,"月薪 40,000~45,000元",2019研發替代役_UI程式設計師 (新竹：台元科技園區)
車偉佳科技有限公司,4/18,"月薪 50,000~70,000元",高階研發工程師
字神帝國英語學院 _臺北市私立字神帝國英語短期補習班,4/18,"月薪 50,000~80,000元",軟體工程師
佛特納國際資訊有限公司,4/18,待遇面議,高階PHP軟體工程師
台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),4/18,待遇面議,System Engineer_Hadoop Admin (Taoyuan)
千竣科技有限公司,4/18,待遇面議,(新竹)雷達演算法工程師
大學招生委員會聯合會,4/18,"月薪 34,000~80,000元",研究助理
圓剛科技股份有限公司,4/18,待遇面議,AIOT研發工程師(新北中和 or 台南東區)
劍麟股份有限公司,4/18,待遇面議,資訊工程師(南投)－總管理處
華萊光電股份有限公司,4/18,待遇面議,韌體開發工程師
柯賓漢數位金融科技有限公司,4/18,待遇面議,ENGINEERING - Senior Web Frontend Developer
顯榮國際電話專業客服中心_顯榮國際股份有限公司,4/18,"月薪 30,000元",【知名電信】資安檢測人員
易銘有限公司,4/18,"月薪 50,000~80,000元",【具備經驗佳】手機遊戲工程師 Senior Programmer
圓剛科技股份有限公司,4/18,待遇面議,iOS/OS X 高級工程師
三井資訊股份有限公司,4/18,"月薪 35,000~60,000元",資深C#程式開發設計師-需具Windows Form 設計經驗【月薪35000元~60000元】
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",系統分析師(台中)
白吃貓股份有限公司,4/18,"月薪 30,000~50,000元",ios手機app開發工程師
精誠資訊股份有限公司,4/18,"月薪 30,000~60,000元",ASP.NET MVC 全端程式設計師(客戶端駐點)-M113
漢磊科技股份有限公司,4/18,待遇面議,CIM資深工程師
戰國策網路科技股份有限公司,4/18,"月薪 25,000~35,000元",網管客服工程師(大三或大四實習生)
昆盈企業股份有限公司,4/18,待遇面議,Android／iOS App 技術主管／Lead
北祥股份有限公司,4/18,"月薪 38,000~55,000元",技術支援工程師(創新部門)
樹碼系統家具 藝田空間設計_澳大企業有限公司,4/18,待遇面議,Android app軟體工程師
元皓能源股份有限公司,4/18,待遇面議,軟體研發工程師
邑昇實業股份有限公司,4/18,待遇面議,光電事業部 電子工程師
華碩電腦股份有限公司,4/18,"月薪 28,000~60,000元",AD30050_2 應用系統程式設計師
柯賓漢數位金融科技有限公司,4/18,待遇面議,ENGINEERING - Site Reliability Engineer
昆盈企業股份有限公司,4/18,待遇面議,資深軟體測試工程師/Lead
國泰綜合證券股份有限公司,4/18,待遇面議,自營應用工程師
幣聖科技有限公司,4/18,待遇面議,（PG）Programming
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【FW】(Sr.) Software Engineer-Web development(中和)
鉑鈞投資發展有限公司,4/18,"月薪 25,000~40,000元",客服工程師
倍利科技股份有限公司,4/18,待遇面議,軟體開發主管/技術主管(台中)
東南旅行社股份有限公司,4/18,待遇面議,資深前端工程師 Senior React.js Frontend Developer(資訊本部)
