job_company,job_date,job_salary,job_title
東佑達自動化科技股份有限公司,4/18,"月薪 40,000~45,000元",2019研發替代役_UI程式設計師 (新竹：台元科技園區)
車偉佳科技有限公司,4/18,"月薪 50,000~70,000元",高階研發工程師
字神帝國英語學院 _臺北市私立字神帝國英語短期補習班,4/18,"月薪 50,000~80,000元",軟體工程師
佛特納國際資訊有限公司,4/18,待遇面議,高階PHP軟體工程師
台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),4/18,待遇面議,System Engineer_Hadoop Admin (Taoyuan)
千竣科技有限公司,4/18,待遇面議,(新竹)雷達演算法工程師
大學招生委員會聯合會,4/18,"月薪 34,000~80,000元",研究助理
圓剛科技股份有限公司,4/18,待遇面議,AIOT研發工程師(新北中和 or 台南東區)
劍麟股份有限公司,4/18,待遇面議,資訊工程師(南投)－總管理處
華萊光電股份有限公司,4/18,待遇面議,韌體開發工程師
柯賓漢數位金融科技有限公司,4/18,待遇面議,ENGINEERING - Senior Web Frontend Developer
圓剛科技股份有限公司,4/18,待遇面議,Android軟體開發工程師
聯合財信資產管理股份有限公司,4/18,"月薪 30,000~45,000元",程式設計師
鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,4/18,"月薪 40,000~80,000元",GUI/前端工程師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【FW】(Sr.) Firmware Engineer(中和)-TC18017
東佑達自動化科技股份有限公司,4/18,待遇面議,UI軟體工程師 (新竹：台元科技園區)
祥儀企業股份有限公司,4/18,"月薪 33,000~37,000元",馬達驅動硬體工程師
萬國專利商標事務所,4/18,"月薪 35,000~45,000元",資訊專利工程師
LA NEW_老牛皮國際股份有限公司,4/18,"月薪 36,000~42,000元",全方位足研管理師
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",資安工程師(公用技術處)
虹光精密工業股份有限公司,4/18,"月薪 30,000~99,000元",R070-軟體工程師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【MKTG】Sr. Web Application Developer(中和)
Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,4/18,待遇面議,Assistant IT Manager
高鐵_台灣高速鐵路股份有限公司,4/18,待遇面議,應用系統工程師(營收資訊系統課)
永磐科技股份有限公司,4/18,"月薪 32,000~40,000元",網路維護駐點工程師(二)
昊聲訊息技術有限公司,4/18,"月薪 30,000~55,000元",[第三事業處] Java 開發工程師 (工作地點:新竹)
日月光半導體製造股份有限公司,4/18,"月薪 30,000~60,000元",技術工程類 - 軟體設計工程師【高雄】
全景軟體股份有限公司,4/18,"月薪 32,000~50,000元",全端工程師(台北/新竹)
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【SW】Java SW Design Engineer(中和)-TC18194
薩摩亞商志強國際企業股份有限公司台灣分公司,4/18,待遇面議,駐東南亞SAP資訊系統工程師
哈瑪星科技股份有限公司,4/18,待遇面議,專案經理-高雄 (HP)
金貝科技有限公司,4/18,"月薪 70,000~120,000元",資深Java研發工程師
昊聲訊息技術有限公司,4/18,"月薪 30,000~55,000元",[第四事業處] c# 程式程式設計工程師(工作地點:新竹)
威技電器股份有限公司,4/18,待遇面議,軟(韌)體工程師 (馬達驅動)
樹碼系統家具 藝田空間設計_澳大企業有限公司,4/18,待遇面議,UI/UX設計師	網頁設計師、美術設計
甌圖軟體開發股份有限公司,4/18,待遇面議,前端工程師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【HW】(Sr.) Firmware Engineer(中和)-TC18027
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【SW】SW Design Engineer(中和)-TC17359
精誠資訊股份有限公司,4/18,待遇面議,技術經理-M128
顯榮國際電話專業客服中心_顯榮國際股份有限公司,4/18,"月薪 30,000元",【知名電信】資安檢測人員
精誠資訊股份有限公司,4/18,"月薪 28,000~45,000元",數位教學設計師-K108
系通科技股份有限公司,4/18,待遇面議,軟體/韌體工程師
天成醫療社團法人天晟醫院,4/18,待遇面議,互聯網工程師
水靈科技股份有限公司,4/18,待遇面議,專案主管
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,"月薪 32,000~70,000元",【MBT】Production Software Engineer(八德)-TC17322
hyve solutions_海峰電腦股份有限公司,4/18,待遇面議,Server BIOS Engineer - Hyve Solutions
倍利科技股份有限公司,4/18,待遇面議,演算法開發主管/技術主管(新竹)
國立交通大學_資訊技術服務中心,4/18,"月薪 35,000~39,000元",計畫技術員 (網路工程師)
友達光電股份有限公司,4/18,待遇面議,軟體工程師(台北辦公室)
悠實國際數位有限公司,4/18,"時薪 400~2,000元/小時",A03【兼職】樂高機器人程式課╱授課老師
圓剛科技股份有限公司,4/18,待遇面議,演算法軟體工程師(歡迎新鮮人加入)
鉑鈞投資發展有限公司,4/18,"月薪 25,000~40,000元",技術客服工程師
華藝科技股份有限公司,4/18,待遇面議,軔體程式設計師
聚眾聯合科技股份有限公司,4/18,待遇面議,Linux設計人員
哈瑪星科技股份有限公司,4/18,"月薪 30,000~45,000元",Java程式設計師-台北(HP)
易銘有限公司,4/18,"月薪 50,000~80,000元",【具備經驗佳】手機遊戲工程師 Senior Programmer
逸亞管理顧問股份有限公司,4/18,待遇面議,誠徵 Unity3D開發工程師 人才
白吃貓股份有限公司,4/18,"月薪 30,000~50,000元",MIS工程師
利頡資訊科技有限公司,4/18,"月薪 80,000~100,000元","資深後端工程師 **月薪80,000~100,000**"
林園酒店股份有限公司,4/18,"月薪 30,000~40,000元",【餐飲部】資料庫程式設計
耀騰印刷事業股份有限公司,4/18,待遇面議,IT製程工程師
哈瑪星科技股份有限公司,4/18,待遇面議,系統分析師-台北(HN)
哈瑪星科技股份有限公司,4/18,待遇面議,資深軟體程式設計師-台北(HP)
國泰綜合證券股份有限公司,4/18,待遇面議,應用系統工程師
永磐科技股份有限公司,4/18,待遇面議,(PM)專案產品經理
凌群電腦股份有限公司,4/18,待遇面議,專案經理( L5)
元皓能源股份有限公司,4/18,待遇面議,app程式設計師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【LAB】(Sr.) Software Engineer - Security(中和)
中國醫藥大學附設醫院,4/18,待遇面議,1JZ0-人工智慧醫學影像診斷中心 研發工程師(系統工程師)
聯華電信股份有限公司,4/18,待遇面議,108年度研發替代役-後端開發工程師
瑄品股份有限公司,4/18,待遇面議,資深PHP 程式設計師
聞祺企業有限公司,4/18,"月薪 30,000~40,000元",軟體工程師
金貝科技有限公司,4/18,待遇面議,資深測試工程師【自動化/Test Automation】
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",系統工程師
英屬維京群島商傑利資訊科技股份有限公司,4/18,"月薪 90,000~120,000元",外派-網頁開發工程師
